"Speaker","WordCount","Percentage"
"ANNOUNCER",173,0.18482905982906
"BAKER",1,0.00106837606837607
"BERTHA",64,0.0683760683760684
"BYSTANDER",2,0.00213675213675214
"CAPTAIN",34,0.0363247863247863
"CARETAKER",6,0.00641025641025641
"CROWD",9,0.00961538461538462
"FIRETRUCK",9,0.00961538461538462
"KETTO",3,0.00320512820512821
"KIKI",88,0.094017094017094
"MADAM",131,0.139957264957265
"MAN",12,0.0128205128205128
"OKINO",36,0.0384615384615385
"OSONO",77,0.0822649572649573
"RADIO",15,0.016025641025641
"STREET-SWEEPER",18,0.0192307692307692
"TOMBO",13,0.0138888888888889
"TV",245,0.261752136752137
